SKU;Название модели;Категория;Цена;Дата поступления;В наличии;Рейтинг
ART-1001;Samsung Galaxy S24 Ultra;Смартфон;125000;10.02.2024;ИСТИНА;4,9
ART-1002;Apple iPhone 15 Pro;Смартфон;112000;05.12.2023;ИСТИНА;4,8
ART-1003;Xiaomi Redmi Note 13 Pro;Смартфон;35000;20.01.2024;ЛОЖЬ;4,3
ART-1004;Asus ROG Zephyrus G16;Ноутбук;185000;15.11.2023;ИСТИНА;4,7
ART-1005;Dell XPS 15;Ноутбук;160000;25.10.2023;ИСТИНА;4,6
ART-1006;HP Victus 16;Ноутбук;95000;05.01.2024;ЛОЖЬ;4,2
ART-1007;Acer Nitro 5;Ноутбук;87000;18.12.2023;ИСТИНА;4,4
ART-1008;LG OLED 65C3;ТВ;180000;01.12.2023;ИСТИНА;4,9
ART-1009;Samsung QN90C 55;ТВ;145000;12.01.2024;ЛОЖЬ;4,5
ART-1010;Sony Bravia XR A80L;ТВ;195000;28.11.2023;ИСТИНА;4,8
ART-1011;Google Pixel 8 Pro;Смартфон;89000;30.01.2024;ИСТИНА;4,7
ART-1012;Nothing Phone (2);Смартфон;55000;10.12.2023;ЛОЖЬ;4,1
ART-1013;Honor Magic 6 Pro;Смартфон;105000;05.02.2024;ИСТИНА;4,6
ART-1014;Lenovo ThinkPad X1 Carbon;Ноутбук;210000;10.10.2023;ИСТИНА;5
ART-1015;MSI Stealth 16 Studio;Ноутбук;200000;22.01.2024;ЛОЖЬ;4,8
ART-1016;Huawei MateBook X Pro;Ноутбук;130000;28.12.2023;ИСТИНА;4,5
ART-1017;TCL 55C745;ТВ;75000;15.01.2024;ИСТИНА;4,3
ART-1018;Philips OLED 807;ТВ;165000;20.11.2023;ИСТИНА;4,6
ART-1019;Xiaomi TV A2 55;ТВ;52000;01.02.2024;ЛОЖЬ;4
ART-1020;Apple MacBook Pro 14 M3;Ноутбук;230000;18.01.2024;ИСТИНА;4,9
